Year,GDP(million Baht),IMPORT(Baht),EXPORT(Baht),Capital_invest(billion_USD),consumption_fam,Gov_spending(million Baht),Mama_ Revenue,Poverty(thousand)
2554,11188831,6982728100000.00,6707989500000.00,99.35,17403,2050378.8,9995000000,2486
2555,12221417,7786123000000.00,7077762200000.00,111.41,18766,2148354.9,11222000000,2344
2556,12901498,7657633100000.00,6909543900000.00,115.41,19061,2143872.6,13000000000,2089
2557,13132241,7403904800000.00,7311089000000.00,97.43,20892,2246255,10186000000,2065
2558,13533596,6906078400000.00,7225722800000.00,89.71,21157,2378260.6,14500000000,1434
2559,14366600,6888186700000.00,7550704100000.00,86.35,21144,2578774.4,13153000000,1731
2560,15185500,7587118400000.00,8006265200000.00,103.97,21437,2586523.1,2790780010,1524.57
2561,16457300,8064038900000.00,8108299800000.00,126.32,21346,2788322,13252371157,1853.85
